strike,call_bid,call_ask,call_lastPrice,volume_x,openInterest_x,put_bid,put_ask,put_lastPrice,volume_y,openInterest_y,gap_mid,gap_exec,expiry,tau_years,rf_annual,pv_div
345.0,0.0,0.0,302.56,4.0,0.0,0.0,0.0,0.65,55.0,0.0,2.175140363300727,,2025-12-31,0.32306639288158795,0.040320000648498534,0.0
350.0,0.0,0.0,299.0,202.0,0.0,0.0,0.0,0.71,10.0,0.0,3.4904325356855566,,2025-12-31,0.32306639288158795,0.040320000648498534,0.0
355.0,0.0,0.0,286.85,4.0,0.0,0.0,0.0,0.73,5.0,0.0,-3.7442752919296822,,2025-12-31,0.32306639288158795,0.040320000648498534,0.0
360.0,0.0,0.0,287.16,2.0,0.0,0.0,0.0,0.68,1.0,0.0,1.5510168804551085,,2025-12-31,0.32306639288158795,0.040320000648498534,0.0
365.0,0.0,0.0,274.59,4.0,0.0,0.0,0.0,0.8,2.0,0.0,-6.203690947160112,,2025-12-31,0.32306639288158795,0.040320000648498534,0.0
370.0,0.0,0.0,273.16,2.0,0.0,0.0,0.0,0.71,4.0,0.0,-2.608398774775253,,2025-12-31,0.32306639288158795,0.040320000648498534,0.0
375.0,0.0,0.0,264.77,2.0,0.0,0.0,0.0,0.89,8.0,0.0,-6.243106602390526,,2025-12-31,0.32306639288158795,0.040320000648498534,0.0
380.0,0.0,0.0,261.17,2.0,0.0,0.0,0.0,0.98,8.0,0.0,-4.9978144300057465,,2025-12-31,0.32306639288158795,0.040320000648498534,0.0
385.0,0.0,0.0,256.71,6.0,0.0,0.0,0.0,0.98,6.0,0.0,-4.5225222576209205,,2025-12-31,0.32306639288158795,0.040320000648498534,0.0
390.0,0.0,0.0,251.82,2.0,0.0,0.0,0.0,1.03,2.0,0.0,-4.527230085236141,,2025-12-31,0.32306639288158795,0.040320000648498534,0.0
395.0,0.0,0.0,247.29,15.0,0.0,0.0,0.0,0.96,1.0,0.0,-4.051937912851372,,2025-12-31,0.32306639288158795,0.040320000648498534,0.0
400.0,0.0,0.0,241.95,2.0,0.0,0.0,0.0,1.16,23.0,0.0,-4.656645740466587,,2025-12-31,0.32306639288158795,0.040320000648498534,0.0
